"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"104","2.646873","0.175914242863655","1.06949924472133E-08"
"105","2.671912","0.226178407669067","1.07666018323016E-08"
"106","2.696951","0.276435613632202","1.14396696559993E-08"
"107","2.72199","0.326687574386597","1.20753052001987E-08"
"108","2.747029","0.3769690990448","9.99248062072411E-09"
"109","2.772068","0.427223205566406","1.37831213109507E-08"
"110","2.797107","0.477471590042114","1.42847422779369E-08"
"111","2.822146","0.527716398239136","1.19050147517896E-08"
"112","2.847185","0.57800555229187","1.52319312718419E-08"
"113","2.872224","0.628251552581787","1.47989629439849E-08"
"114","2.897263","0.678502559661865","1.58716559894856E-08"
"115","2.922302","0.72878098487854","1.65803797358421E-08"
"116","2.94734","0.779021024703979","1.59072879313271E-08"
"117","2.972379","0.82927393913269","1.6959798898597E-08"
"118","2.997418","0.879518032073975","1.75411098979339E-08"
"119","3.022457","0.92979884147644","1.86274284885712E-08"
"120","3.047496","0.98004937171936","1.94032310218972E-08"
"121","3.072534","1.03029155731201","2.12179536163148E-08"
"122","3.097573","1.08056640625","2.2183645143059E-08"
"123","3.122612","1.13082265853882","2.24731202536077E-08"
"124","3.147652","1.18106007575989","2.15815543214148E-08"
"125","3.172691","1.23130583763123","2.15469366793286E-08"
"126","3.19773","1.28158402442932","2.4044620516861E-08"
"127","3.222769","1.33182215690613","2.47496725336305E-08"
"128","3.247808","1.38207459449768","2.44744899902116E-08"
"129","3.272847","1.4323525428772","2.57899408495632E-08"
"130","3.297886","1.48259472846985","2.49763605353337E-08"
"131","3.322925","1.53283739089966","2.77450329377871E-08"
"132","3.347964","1.58308553695679","2.80928258433732E-08"
"133","3.373003","1.63336300849915","2.78448588630908E-08"
"134","3.398042","1.68360280990601","2.92674187107878E-08"
"135","3.423081","1.73383927345276","3.10006846859778E-08"
"136","3.44812","1.78412556648254","3.07335490390415E-08"
"137","3.473159","1.83436036109924","3.11228411931097E-08"
"138","3.498198","1.88460683822632","3.17631361212989E-08"
"139","3.523237","1.93484711647034","3.23094475618291E-08"
"140","3.548276","1.98512840270996","3.20432427258766E-08"
"141","3.573315","2.03550815582275","3.33026761722977E-08"
"142","3.598354","2.08579540252686","3.41283801219561E-08"
"143","3.623393","2.13608026504517","3.56964235947999E-08"
"144","3.648432","2.18634605407715","3.62846250823168E-08"
"145","3.673471","2.23658084869385","3.55924250072803E-08"
"146","3.69851","2.28680372238159","3.68748658274853E-08"
"147","3.723549","2.33708381652832","3.77136935014732E-08"
"148","3.748588","2.3872971534729","3.78964060132603E-08"
"149","3.773627","2.43758678436279","3.9309334454174E-08"
"150","3.798665","2.48785972595215","3.93632788586729E-08"
"151","3.823704","2.53804445266724","4.06603817282303E-08"
"152","3.848743","2.58831739425659","4.01766548918658E-08"
"153","3.873782","2.6384973526001","4.13094767282018E-08"
"154","3.898821","2.68876552581787","4.11797884680709E-08"
"155","3.92386","2.73900032043457","4.29498676624007E-08"
"156","3.948899","2.78963088989258","4.24225561346248E-08"
"157","3.973938","2.8398585319519","4.25913206925088E-08"
"158","3.998977","2.89013624191284","4.37610161441171E-08"
